operation,bucket_name,requester,remoteip,requestdatetime,key,request_uri,errorcode,c
REST.HEAD.OBJECT,usaadownload,-,65.108.156.240,04/Nov/2022:02:34:48 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-18/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-18/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,americanexpressdownload,-,34.147.40.38,28/Oct/2022:21:54:47 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressproduction,-,34.147.40.38,28/Oct/2022:21:54:48 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,05/Nov/2022:11:28:18 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,americanexpressdownload,-,54.85.129.133,05/Nov/2022:14:43:31 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,01/Nov/2022:20:14:33 +0000,-,"""GET / HTTP/1.1""",PermanentRedirect,1
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,31/Oct/2022:19:16:55 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.OBJECT,americanexpressproduction,-,122.161.49.253,10/Nov/2022:18:35:52 +0000,update_2022_chargeback_1668102301/2022-08/2022-08-01/transactions.zip,"""GET /update_2022_chargeback_1668102301/2022-08/2022-08-01/transactions.zip HTTP/1.1""",-,1
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,09/Oct/2022:16:28:32 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-05/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-05/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,goldmansachsgroupproduction,-,54.85.129.133,01/Nov/2022:20:23:14 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,americanexpressproduction,-,139.144.68.43,11/Nov/2022:10:17:24 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressdownload,-,192.175.111.252,21/Oct/2022:11:28:51 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.OBJECT,usaadownload,-,65.108.156.240,04/Nov/2022:02:34:48 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-18/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-18/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-29/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-29/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,americanexpressproduction,-,139.144.111.85,15/Nov/2022:10:17:53 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-10/2022-10-24/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-10/2022-10-24/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-26/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-26/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-10/2022-10-17/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-10/2022-10-17/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,15/Nov/2022:13:32:27 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-09/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-09/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,usaaproduction,-,135.181.38.135,04/Nov/2022:07:13:28 +0000,update_2022_chargeback_1667303101/2022-08/2022-08-23/transactions.zip,"""HEAD /update_2022_chargeback_1667303101/2022-08/2022-08-23/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressdownload,-,135.181.154.239,04/Nov/2022:02:36:47 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-01/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-01/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,usaadownload,-,54.85.129.133,03/Oct/2022:15:57:42 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,americanexpressdownload,-,135.181.154.239,04/Nov/2022:02:36:47 +0000,update_2022_chargeback_1667299501/2022-10/2022-10-18/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-10/2022-10-18/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,usaadownload,-,54.85.129.133,05/Nov/2022:14:47:36 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,americanexpressdownload,-,135.181.154.239,04/Nov/2022:02:36:47 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-23/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-23/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,americanexpressdownload,-,35.195.93.98,06/Oct/2022:21:57:52 +0000,-,"""GET /?encoding-type=url HTTP/1.1""",-,1
REST.HEAD.OBJECT,usaadownload,-,65.108.156.240,04/Nov/2022:02:34:48 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-12/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-12/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.OBJECT,americanexpressproduction,-,195.74.76.194,10/Nov/2022:22:12:31 +0000,secure-encryption-ssh-quickstart-1668115801.txt,"""GET /secure-encryption-ssh-quickstart-1668115801.txt HTTP/1.1""",-,1
REST.HEAD.OBJECT,usaaproduction,-,135.181.38.135,04/Nov/2022:07:13:29 +0000,update_2022_chargeback_1667303101/2022-10/2022-10-09/transactions.zip,"""HEAD /update_2022_chargeback_1667303101/2022-10/2022-10-09/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,usaadownload,-,54.85.129.133,15/Oct/2022:14:13:47 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,usaaproduction,-,135.181.38.135,04/Nov/2022:07:13:28 +0000,update_2022_chargeback_1667303101/2022-09/2022-09-11/transactions.zip,"""HEAD /update_2022_chargeback_1667303101/2022-09/2022-09-11/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,americanexpressproduction,-,139.144.96.118,11/Nov/2022:21:55:03 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressdownload,-,139.162.130.113,09/Nov/2022:10:17:13 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.BUCKET,usaadownload,-,54.85.129.133,17/Oct/2022:14:12:47 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,usaaproduction,-,135.181.38.135,04/Nov/2022:07:13:28 +0000,update_2022_chargeback_1667303101/2022-08/2022-08-17/transactions.zip,"""HEAD /update_2022_chargeback_1667303101/2022-08/2022-08-17/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,americanexpressproduction,-,54.85.129.133,21/Oct/2022:20:51:14 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.OBJECT,americanexpressproduction,-,139.71.200.18,10/Nov/2022:18:38:36 +0000,favicon.ico,"""GET /favicon.ico HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,americanexpressproduction,-,54.85.129.133,25/Oct/2022:19:35:29 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,americanexpressdownload,-,35.204.183.176,05/Nov/2022:21:54:12 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressdownload,-,35.205.96.143,13/Oct/2022:14:38:27 +0000,-,"""GET /?encoding-type=url HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressproduction,-,34.255.7.108,20/Oct/2022:21:56:45 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressproduction,-,180.245.182.87,27/Oct/2022:04:46:34 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,09/Nov/2022:21:30:14 +0000,-,"""GET / HTTP/1.1""",PermanentRedirect,1
REST.HEAD.BUCKET,goldmansachsgroupdownload,-,54.85.129.133,15/Oct/2022:14:10:38 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,goldmansachsgroupdownload,-,54.85.129.133,25/Oct/2022:14:33:20 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,02/Nov/2022:16:32:31 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,11/Nov/2022:14:56:36 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,usaadownload,-,65.108.156.240,04/Nov/2022:02:34:48 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-06/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-06/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,americanexpressproduction,-,54.85.129.133,27/Oct/2022:18:31:39 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,americanexpressproduction,-,3.122.178.128,03/Nov/2022:10:17:46 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressdownload,-,3.81.235.141,15/Nov/2022:10:17:51 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-11/2022-11-01/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-11/2022-11-01/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,usaaproduction,-,47.197.45.70,02/Nov/2022:16:52:29 +0000,-,"""GET / HTTP/1.1""",TemporaryRedirect,1
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,03/Nov/2022:19:30:26 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,americanexpressdownload,-,54.85.129.133,05/Oct/2022:13:04:56 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,usaaproduction,-,135.181.38.135,04/Nov/2022:07:13:28 +0000,update_2022_chargeback_1667303101/2022-09/2022-09-16/transactions.zip,"""HEAD /update_2022_chargeback_1667303101/2022-09/2022-09-16/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-02/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-02/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,americanexpressdownload,-,139.144.111.85,03/Nov/2022:22:23:27 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.BUCKET,americanexpressproduction,-,54.85.129.133,15/Oct/2022:14:09:00 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,usaaproduction,-,135.181.38.135,04/Nov/2022:07:13:28 +0000,update_2022_chargeback_1667303101/2022-08/2022-08-04/transactions.zip,"""HEAD /update_2022_chargeback_1667303101/2022-08/2022-08-04/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-16/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-16/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-06/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-06/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,goldmansachsgroupdownload,-,54.85.129.133,19/Oct/2022:18:55:07 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,goldmansachsgroupdownload,-,54.85.129.133,07/Nov/2022:11:03:55 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,usaadownload,-,65.108.156.240,04/Nov/2022:02:34:48 +0000,update_2022_chargeback_1667299501/2022-10/2022-10-12/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-10/2022-10-12/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-12/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-12/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,goldmansachsgroupdownload,-,54.85.129.133,29/Oct/2022:14:48:52 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,09/Nov/2022:21:29:59 +0000,-,"""GET / HTTP/1.1""",PermanentRedirect,1
